expresion	GENE	muestra
103	AB_000001_T.1	DC01_15
959	AB_000002_T.1	DC01_15
3898	AB_000003_T.1	DC01_15
454	AB_000004_T.1	DC01_15
716	AB_000006_T.1	DC01_15
560	AB_000007_T.1	DC01_15
10	AB_000009_T.1	DC01_15
317	AB_000010_T.1	DC01_15
54	AB_000011_T.1	DC01_15
8	AB_000012_T.1	DC01_15
6	AB_000013_T.1	DC01_15
622	AB_000014_T.1	DC01_15
33	AB_000015_T.1	DC01_15
86	AB_000017_T.1	DC01_15
371	AB_000018_T.1	DC01_15
1700	AB_000019_T.1	DC01_15
248	AB_000020_T.1	DC01_15
391	AB_000021_T.1	DC01_15
19	AB_000022_T.1	DC01_15
631	AB_000023_T.1	DC01_15
97	AB_000025_T.1	DC01_15
137	AB_000026_T.1	DC01_15
4	AB_000027_T.1	DC01_15
18	AB_000028_T.1	DC01_15
4	AB_000029_T.1	DC01_15
4	AB_000031_T.1	DC01_15
87	AB_000032_T.1	DC01_15
182	AB_000033_T.1	DC01_15
316	AB_000035_T.1	DC01_15
47	AB_000037_T.1	DC01_15
72	AB_000038_T.1	DC01_15
