POS_avg	GENE	CHR
3.543	AB_009127_T.1	1
4.105	AB_022342_T.1	1
4.105	AB_022342_T.1	1
4.3855	AB_013357_T.1	1
4.3855	AB_002382_T.1	1
4.6665	AB_019694_T.1	1
4.6665	AB_013357_T.1	1
4.6665	AB_013357_T.1	1
4.9475	AB_019694_T.1	1
4.9475	AB_019694_T.1	1
4.9475	AB_029398_T.1	1
4.9475	AB_035883_T.1	1
7.224	AB_005098_T.1	1
7.224	AB_000148_T.1	1
7.224	AB_005192_T.1	1
7.224	AB_025324_T.1	1
8.0665	AB_025324_T.1	1
10.601	AB_041233_T.1	1
10.882	AB_035756_T.1	1
11.163	AB_029469_T.1	1
11.444	AB_015580_T.1	1
15.415	AB_022452_T.1	1
15.415	AB_029250_T.1	1
15.415	AB_018264_T.1	1
15.415	AB_022452_T.1	1
15.415	AB_018264_T.1	1
15.977	AB_004548_T.1	1
15.977	AB_024129_T.1	1
15.977	AB_024129_T.1	1
15.977	AB_026556_T.1	1
15.977	AB_012375_T.1	1
16.5385	AB_004548_T.1	1
16.5385	AB_037726_T.1	1
17.1	AB_020715_T.1	1
17.381	AB_008314_T.1	1
17.662	AB_020108_T.1	1
17.943	AB_042847_T.1	1
17.943	AB_042847_T.1	1
17.943	AB_042847_T.1	1
17.943	AB_042847_T.1	1
17.943	AB_008250_T.1	1
17.943	AB_042847_T.1	1
17.943	AB_042847_T.1	1
18.789	AB_020108_T.1	1
19.9155	AB_020715_T.1	1
20.4775	AB_003040_T.1	1
21.0395	AB_021276_T.1	1
21.0395	AB_003082_T.1	1
21.6015	AB_021465_T.1	1
21.6015	AB_021465_T.1	1
21.6015	AB_012783_T.1	1
21.6015	AB_012783_T.1	1
21.6015	AB_021276_T.1	1
21.6015	AB_012783_T.1	1
21.882	AB_012614_T.1	1
21.882	AB_012614_T.1	1
23.58	AB_007470_T.1	1
24.9975	AB_005351_T.1	1
25.2785	AB_014453_T.1	1
25.8435	AB_021998_T.1	1
26.1245	AB_021998_T.1	1
27.2545	AB_022634_T.1	1
27.8165	AB_038430_T.1	1
28.9495	AB_041840_T.1	1
29.23	AB_030151_T.1	1
29.23	AB_009712_T.1	1
29.511	AB_001416_T.1	1
29.511	AB_001416_T.1	1
29.511	AB_001416_T.1	1
29.511	AB_009712_T.1	1
29.511	AB_030151_T.1	1
30.073	AB_029529_T.1	1
30.073	AB_029529_T.1	1
30.073	AB_029529_T.1	1
30.916	AB_011558_T.1	1
31.197	AB_011558_T.1	1
31.759	AB_028689_T.1	1
31.759	AB_002575_T.1	1
32.32	AB_020446_T.1	1
